,Pud Thai Vs Pho,Hungry Jack s,The Comics Lounge,Fat Face Food,Saddles@HQ,McDonalds,Eat & Grab,Coffee Hq,Australian Education Academy Cafe ,Subway Vic Harbour
City BBQ Restaurant,0.01813637858201605,0.017061388680127288,0.01851375634593314,0.025305115962728938,0.05720132196600214,0.005972843743667468,0.01394547418650585,0.0026622391032623317,0.03767169825744359,0.025099358418577286
Supper Inn,0.017491672631566837,0.016921913603317882,0.017775025380413173,0.02454578950171443,0.05649818855206245,0.006757141685261753,0.014703471463463666,0.0022672267852030864,0.03699907648204297,0.02432638357937486
Silver Bird Garden Restaurant,0.017857381391917247,0.01690899721294536,0.018309207466958837,0.025087773404207255,0.05701784385853004,0.006207539448885984,0.014160911476931569,0.0025962225179834,0.03750428435534129,0.024809763833854002
Ling Nan Chinese Restaurant,0.017743595167354836,0.016871738533951453,0.018195405371638267,0.024969690864782502,0.05691084964267788,0.0063319031493518805,0.014279243266703786,0.0025434916803501015,0.0374031304423181,0.02467980102606356
Kimurkan,0.017053809041052713,0.016540416768213738,0.01766659968464144,0.02440590006103426,0.0564255865726438,0.006963088280420006,0.014857816752946718,0.0025198166517866267,0.03696004306023424,0.02394835602825702
Taiwan Cafe,0.017053809041052713,0.016540416768213738,0.01766659968464144,0.02440590006103426,0.0564255865726438,0.006963088280420006,0.014857816752946718,0.0025198166517866267,0.03696004306023424,0.02394835602825702
Gaylord Indian Restaurant,0.017098872127157123,0.0166982158597613,0.017523625993908682,0.024272314407373864,0.05627407885859478,0.007070839451204707,0.014984817231610376,0.0023390754403213813,0.03680071653895757,0.023927618281618677
Camy Shanghai Dumpling And Noodle Restaurant,0.016969824071639956,0.016857782895681992,0.017140281988077405,0.02389274313803297,0.055889130847451146,0.007435218412181127,0.015361611137820506,0.002101571057406341,0.036416528819275276,0.02367811240879077
Shanghai Noodle House,0.01692190067065721,0.016605305169716467,0.01740466783578503,0.024143017994179228,0.056165990513556925,0.007221442363300338,0.015120397947423035,0.002386064730969228,0.03670447746356069,0.02374493933011285
Minang Indonesian Cuisine,0.01670351901375194,0.016533497864396247,0.017206426422767745,0.023933499916993665,0.05597871021544662,0.007453341185755639,0.015337927992652444,0.002416291469387846,0.03653078323010129,0.023498546066885756
Cafe Pazzo,0.008394325936658082,0.01369255168211349,0.014174765310550983,0.019614656454554364,0.05206476711166139,0.015182379364369615,0.02217489081817273,0.00998280679568544,0.03359931903451601,0.015083845676354941
Cafe Diy,0.008394325936658082,0.01369255168211349,0.014174765310550983,0.019614656454554364,0.05206476711166139,0.015182379364369615,0.02217489081817273,0.00998280679568544,0.03359931903451601,0.015083845676354941
Rhumbarallas,0.02273621261996461,0.018878841702750726,0.02360702595436317,0.03048155193021585,0.06200238797342907,0.0016460188741202852,0.009086722885605043,0.007376725982741831,0.04232642183884472,0.030338935264280324
KFC,0.017824860649278386,0.0158403758455352,0.019616768317692736,0.026337351673211096,0.05838325940803234,0.005185385662530834,0.012958320404132816,0.004120145953892052,0.03891524626562691,0.025266225190849867
Box Cafe Restaurant,0.01688404131713157,0.013732700558404252,0.020848849626100185,0.02740982074268531,0.05967670105753521,0.0054021086993785395,0.012350141787777527,0.006182983216709937,0.04035085956733316,0.0249616014770314
Gobistro,0.021477503089788207,0.02040596123565366,0.019343815309379942,0.026262732698926,0.05746298598690257,0.006027274614428137,0.013736895665267862,0.0036017193405042626,0.03774860465211239,0.027896568033490457
Cafe Cosmic,0.02149949017943619,0.020494206860862018,0.019258517519867298,0.02617853382804786,0.05735981005731976,0.006149644150993602,0.01385059477058269,0.0035694570046279706,0.03764302391860806,0.027880024954588786
Magic Monkey,0.021512353413859858,0.02053042508769938,0.019230118651888884,0.026150552429359077,0.05732386645543681,0.006194578381893792,0.013891255427268294,0.003562885273144444,0.03760605535207607,0.02787850901725406
Hotel Lindrum,0.022377636832361266,0.016529946006326485,0.02597523676153533,0.03272864508236894,0.06467310986564366,0.0020588306795323494,0.006572253426524332,0.009953247450249633,0.045116068576219255,0.030799290375146515
Squires Loft City Steakhouse,0.012581553146653114,0.015572760734208413,0.013972381743287599,0.02030620108014218,0.05271759474208314,0.011931531017760759,0.01950928588689378,0.00579609978648043,0.033635679618392846,0.018777030266033435
Rider +,0.012389826931337866,0.014669645409362327,0.014938158668636972,0.021217257585171345,0.05365367915056914,0.011372953791509047,0.018804696648613253,0.005928725142478087,0.034607548235490546,0.019075719841853002
Cafe Miro,0.012991968429817426,0.01570072600346968,0.014153467721320914,0.020549322121771366,0.052931239373372796,0.011543576138051457,0.019162479175410425,0.0053645887742674574,0.033800919782081905,0.019213556996969177
The King Indian Cafe,0.009219563916337293,0.01763202565055636,0.010231534080990642,0.015306120907005602,0.04773189943137828,0.0184330812600729,0.02587344065410002,0.011756336730150438,0.029378311111558024,0.012635388231726158
Cafe Tiffany,0.008481546361493484,0.015904612723775073,0.011905470739873423,0.017119621462967576,0.04954687970024464,0.01711305889584844,0.024380139250204692,0.010973075896229941,0.03116964260152956,0.013420707387913055
Post Deng Cafe,0.017458066717804394,0.01677230375588343,0.01792254996224604,0.02468506724705669,0.05665499028519522,0.006635625425288119,0.014566416425751006,0.0024513812876848355,0.03716274411791086,0.02435734670596063
Caffe Venice,0.012011897580793598,0.01326157062736348,0.016303475966147944,0.022471781903766523,0.05494443906443454,0.010890279921143681,0.018009385134903064,0.00662058380222796,0.035978163444806116,0.01937462121164759
Troika Bar,0.02112793838169441,0.020061779121942243,0.019220976662747632,0.02613473285586714,0.057416587866942585,0.00593408289823942,0.013725900657015809,0.0033411211543264248,0.03771587406972756,0.027595417655803464
QBH,0.009173405972996722,0.007042305784261895,0.0209680678369526,0.026258200831392773,0.05858930939621676,0.013947972220664157,0.019020846597088855,0.012717369107877248,0.04034535324500609,0.018682337352564127
Nicks Bar,0.01165339614759386,0.015302079135510465,0.013630957755777273,0.019804214893429064,0.0522680811573363,0.012808663075975984,0.02029056634212297,0.006778301308310837,0.033304759338592595,0.017796119252416608
Milano On Queen,0.011687715616930461,0.015379221252347593,0.013558401067119433,0.01973859681973828,0.05220049455916764,0.012839547931615092,0.02033375629320905,0.0067622168447206595,0.03323244565127784,0.01778856404854037
Sapa House,0.018356631726824505,0.016691003504592832,0.019311818937388668,0.026088269156026873,0.05801610441184564,0.005224121079648624,0.013160728428036719,0.0034696543390496737,0.03849366816267604,0.025562475648764744
Nudo Cafe,0.01838490396814803,0.016829058298987426,0.019176799608926924,0.02596072360135982,0.05787085673912974,0.005334029350837397,0.013288092317385343,0.0032989925339255125,0.03834188982254451,0.025534578357683715
Chilli Cafe,0.01890998684374021,0.016938599160213248,0.019818639262767525,0.026614491232762178,0.05848774002154771,0.004665095969960108,0.01263730431416729,0.00381808911249959,0.038938990850110426,0.026166144804857353
European,0.023196766797821906,0.019663633408151384,0.02339183078678413,0.030289035600490448,0.061655374304210225,0.0024903472826414814,0.009558753347338248,0.007220489255790543,0.04194989633674807,0.03060837111408529
